x_1,x_2,u_true
0.000000000000000000e+00,2.257777777777778105e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.155151515151516151e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.052525252525253308e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.949898989898990465e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.847272727272727622e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.744646464646464779e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.642020202020201936e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.539393939393939092e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.436767676767678026e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.334141414141415183e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.231515151515152340e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.128888888888889497e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.026262626262626654e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.236363636363638108e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.210101010101009678e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.183838383838399011e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.157575757575770581e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.131313131313142151e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.105050505050513721e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.078787878787885290e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.052525252525256860e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.026262626262628430e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.309090909090908972e-01,1.016000000000000014e+01,1.797558413752905824e-17
2.309090909090908972e-01,1.005737373737373730e+01,1.006661764057817507e-03
2.309090909090908972e-01,9.954747474747474456e+00,2.012309905050274628e-03
2.309090909090908972e-01,9.852121212121211613e+00,3.015931820544567096e-03
2.309090909090908972e-01,9.749494949494948770e+00,4.016516948345150162e-03
2.309090909090908972e-01,9.646868686868687703e+00,5.013057784044298686e-03
2.309090909090908972e-01,9.544242424242424860e+00,6.004550895493654047e-03
2.309090909090908972e-01,9.441616161616162017e+00,6.989997933175218919e-03
2.309090909090908972e-01,9.338989898989899174e+00,7.968406635454842318e-03
2.309090909090908972e-01,9.236363636363636331e+00,8.938791827705457743e-03
2.309090909090908972e-01,9.133737373737373488e+00,9.900176414294524149e-03
2.309090909090908972e-01,9.031111111111110645e+00,1.085159236243640225e-02
2.309090909090908972e-01,8.928484848484849579e+00,1.179208167691938973e-02
2.309090909090908972e-01,8.825858585858586736e+00,1.272069736472569365e-02
2.309090909090908972e-01,8.723232323232323893e+00,1.363650438857307544e-02
2.309090909090908972e-01,8.620606060606061050e+00,1.453858060841813245e-02
2.309090909090908972e-01,8.517979797979798207e+00,1.542601770997322971e-02
2.309090909090908972e-01,8.415353535353535364e+00,1.629792211930190110e-02
2.309090909090908972e-01,8.312727272727272521e+00,1.715341590257214721e-02
2.309090909090908972e-01,8.210101010101009678e+00,1.799163765006129775e-02
2.309090909090908972e-01,8.107474747474746835e+00,1.881174334352265706e-02
2.309090909090908972e-01,8.004848484848483992e+00,1.961290720604029827e-02
2.309090909090908972e-01,7.902222222222222925e+00,2.039432253351639024e-02
2.309090909090908972e-01,7.799595959595960082e+00,2.115520250695393512e-02
2.309090909090908972e-01,7.696969696969697239e+00,2.189478098471672046e-02
